word,translation
Weichteile,soft tissue
Weichtier,mollusc
Weichzeichner,blur
Weide,pasture
Weidel,"a surname, Weidel"
Weideland,pastureland
Weiden,ellipsis of Weiden in der Oberpfalz
Weiden in der Oberpfalz,"Weiden in der Oberpfalz (an independent town in the Upper Palatinate region, Bavaria, Germany)"
Weidenbaum,willow tree
Weidevieh,grazing cattle
weidlich,hearty
Weidmann,hunter
weidwund,smitten
Weife,reel
Weigand,heroic fighter
weigern,to refuse
Weihe,"consecration, any act or procession of making a thing or situation holy"
weihen,to dedicate to a cause or purpose
Weiher,pond
Weihnachten,Christmas
weihnachtlich,of Christmas
Weihnachtsabend,Christmas Eve
Weihnachtsbaum,Christmas tree
Weihnachtsbaumkerze,Christmas tree candle
Weihnachtsbaumkugel,"A bauble, shiny spherical decoration, commonly used for Christmas decorations, especially Christmas trees"
Weihnachtsbäckerei,Christmastime baking (time of year in which one bakes Christmas baked goods)
Weihnachtsengel,"figurine of an angel, used as decoration at Christmastime"
Weihnachtsferien,Christmas holidays
Weihnachtsfest,Christmas
Weihnachtsgans,Christmas goose (roasted goose traditionally eaten at Christmas)
Weihnachtsgebäck,"Christmas cookies, Christmas biscuits"
Weihnachtsgedicht,Christmas poem
Weihnachtsgeld,Christmas bonus (an additional payment made to employees by their employer before Christmas)
Weihnachtsgeschenk,Christmas present
Weihnachtsinsel,"Christmas Island (an island and external territory of Australia, located on the Indian Ocean)"
Weihnachtskarte,Christmas card
Weihnachtskeks,"Christmas cookie, Christmas biscuit"
Weihnachtskerze,Christmas candle
Weihnachtskranz,Christmas wreath
Weihnachtskugel,"A bauble, shiny spherical decoration, commonly used for Christmas decorations, especially Christmas trees"
Weihnachtslied,Christmas carol
Weihnachtslotterie,Christmas lottery
Weihnachtsmann,"Santa Claus, Father Christmas"
Weihnachtsmarkt,Christmas market
Weihnachtsplätzchen,Christmas cookie
Weihnachtspyramide,Christmas pyramid (rotating multi-level Christmas ornament)
Weihnachtsrose,synonym of Christrose
Weihnachtsstern,"Christmas star, Star of Bethlehem"
Weihnachtstag,one of the Twelve Days of Christmas
Weihnachtszeit,"Christmas season, Christmastime, Yuletide (The period from Advent Sunday through the end of the year"
Weihrauch,frankincense
Weihrauchbaum,"any of several trees of the genus Boswellia in the order Sapindales, known for its fragrant resin."
Weihrauchfass,"thurible, metal censer, metal incense burner"
Weihrauchschwenker,censer
Weihrauchzeder,"incense cedar, California incense cedar (Calocedrus decurrens)"
Weihwasser,holy water
Weikendorf,"a municipality of Lower Austria, Austria"
Weikersheim,"Weikersheim (a town in northern Baden-Württemberg, Germany)"
Weikersheimer,a native or inhabitant of Weikersheim
weil,"because, given that"
weil Baum,Said when one does not know or want to say the reason for something
weil.,abbreviation of weiland
weiland,"once, in old times"
Weilbach,"a municipality of Upper Austria, Austria"
Weilburg,"Weilburg (a town in western Hesse, Germany)"
Weile,"while (uncertain duration of time, period of time)"
weilen,"to be, be present somewhere"
Weiler,"hamlet (very small settlement which lacks some of the typical features of a village, such as a church or a village square)"
Weilerswist,"Weilerswist (a town in southern North Rhine-Westphalia, Germany)"
Weilheim,"a town, the administrative seat of Weilheim-Schongau district, Upper Bavaria region, Bavaria"
Weilheim-Schongau,"a rural district of the Upper Bavaria region, Bavaria"
Weilheimer,a native or inhabitant of Weilheim
Weimar,"Weimar (an independent city in Thuringia, Germany)"
Weimarer,native or inhabitant of Weimar
Weimarer Land,a rural district of Thuringia
Weimarer Republik,the Weimar Republic (Germany between 1919 and 1933)
Wein,wine
Weinbach,"a municipality of Limburg-Weilburg district, Hesse"
Weinbacher,a surname
Weinbau,"winemaking, viniculture, viticulture"
Weinbecher,wine tumbler
Weinbeere,grape (fruit)
Weinberg,vineyard
Weinberger,a native or inhabitant of Weinberg
Weinbergpfirsich,ellipsis of roter Weinbergpfirsich
Weinbergschnecke,"apple snail, escargot (edible snail from the genus Helix)"
Weinblume,synonym of Christrose
Weinbrand,brandy (drink made from distilled wine)
Weinburg,"a municipality of Lower Austria, Austria"
weinen,"to weep, cry"
weinerlich,"tearful, weepy, about to - or with a tendency to shed tears"
weinfarben,wine-coloured
weinfarbig,wine-coloured
Weinfass,wine barrel / cask
Weinfeld,"an abandoned village in Vulkaneifel district, Rhineland-Palatinate"
Weinflasche,wine bottle
weinfroh,tipsy (happy as a result of drinking wine)
weinfröhlich,tipsy (happy as a result of drinking wine)
Weingarten,vineyard
Weingartener,a native or inhabitant of Weingarten
Weingeist,"ethanol, alcohol"
weingelb,having a pale yellowish colour (as of some German wine)
Weinglas,wine glass
Weingraben,"a municipality of Burgenland, Austria"
Weingummi,wine gum
Weingut,wine estate
weinhaltig,winey (made from wine)
Weinhaus,"wine house, a place where wine is served"
Weinheim,"a town in Baden-Württemberg, Germany"
Weinheimer,a native or inhabitant of Weinheim
Weinherstellung,winemaking
Weinhähnchen,Italian tree cricket
Weinhändler,"wine merchant, winemonger, a seller of wine"
Weinhändlerin,"female winemonger, female seller of wine"
Weiningen,"a municipality of Dietikon district, Zürich canton, Switzerland"
Weininger,a native or inhabitant of Weiningen
Weiningerin,A female person from Weiningen or of Weiningen descent
Weinitzen,"a municipality of Styria, Austria"
Weinjahr,vintage
Weinkarte,wine list
Weinkeller,wine cellar
Weinkellner,"sommelier, wine waiter, wine steward"
Weinkrampf,crying fit
Weinkunde,oenology
Weinkönigin,wine queen
Weinlese,"vintage, the harvesting of wine / grapes"
Weinrebe,grapevine
Weinrechnung,wine-bill
Weinrose,"sweetbrier, eglantine"
weinrot,"burgundy, claret, reddish maroon (having the colour of red wine)"
weinsauer,tartaric (containing tartaric acid or tartrates)
Weinsberg,"Weinsberg (a town in Heilbronn district, Baden-Württemberg, Germany)"
Weinsberger,A native or resident of Weinsberg
Weinschorle,spritzer
weinselig,tipsy (happy as a result of drinking wine)
Weinstadt,"Weinstadt (a town in southern Baden-Württemberg, Germany)"
Weinstein,"crystals of tartrate (as found e.g. at the bottom of wine bottles), wine stone"
Weinstock,grapevine
Weinstrasse,Switzerland and Liechtenstein standard spelling of Weinstraße
Weinstraße,wine route (marked road in a wine-producing region)
Weinstube,wine bar
Weinstädter,a native or inhabitant of Weinstadt
Weinsäure,tartaric acid
Weintraub,a surname
Weintraube,grape
Weinverkoster,winetaster
Weinverkostung,winetasting
Weinwissenschaft,oenology
Weinzierl,"a municipality of Lower Austria, Austria"
Weise,"way, manner"
Weisel,queen bee
weisen,to point
Weiser,sage
Weishaupt,a surname
Weisheit,wisdom
Weisheitszahn,wisdom tooth (rearmost molar in humans)
weismachen,[with dative] make believe
weiss,Switzerland and Liechtenstein standard spelling of weiß
weissagen,"to predict, prophesy"
Weissager,"soothsayer, seer, prophet (male or of unspecified gender)"
Weissagung,prophecy
Weissbier,Switzerland and Liechtenstein standard spelling of Weißbier
Weissblech,Switzerland and Liechtenstein standard spelling of Weißblech
weissblütig,Switzerland and Liechtenstein standard spelling of weißblütig
Weissbrot,Switzerland and Liechtenstein standard spelling of Weißbrot
Weissbuch,Switzerland and Liechtenstein standard spelling of Weißbuch
Weissburgunder,Switzerland and Liechtenstein standard spelling of Weißburgunder
Weissdorn,Switzerland and Liechtenstein standard spelling of Weißdorn
Weissdornhecke,Switzerland and Liechtenstein standard spelling of Weißdornhecke
Weisse,Switzerland and Liechtenstein standard spelling of Weiße
Weissenbach,archaic spelling of Weißenbach
Weissenbacher,Switzerland and Liechtenstein standard spelling of Weißenbacher
Weissenberg,archaic spelling of Weißenberg
Weissenberger,Switzerland and Liechtenstein standard spelling of Weißenberger
Weissenbergerin,Switzerland and Liechtenstein standard spelling of Weißenberg
Weissenborn,archaic spelling of Weißenborn
Weissenborner,Switzerland and Liechtenstein standard spelling of Weißenborner
Weissenburg,Switzerland and Liechtenstein standard spelling of Weißenburg
Weissenburger,Switzerland and Liechtenstein standard spelling of Weißenburger
Weissenfeld,Switzerland and Liechtenstein standard spelling of Weißenfeld
Weissenfelder,Switzerland and Liechtenstein standard spelling of Weißenfelder
Weissenfels,archaic spelling of Weißenfels
Weissenfelser,Switzerland and Liechtenstein standard spelling of Weißenfelser
Weissenhorn,Switzerland and Liechtenstein standard spelling of Weißenhorn
Weissenhorner,Switzerland and Liechtenstein standard spelling of Weißenhorner
Weissenstadt,Switzerland and Liechtenstein standard spelling of Weißenstadt
Weissenstein,Switzerland and Liechtenstein standard spelling of Weißenstein
Weissensteiner,Switzerland and Liechtenstein standard spelling of Weißensteiner
Weissensteinerin,Switzerland and Liechtenstein standard spelling of Weißensteinerin
weissensteinisch,Switzerland and Liechtenstein standard spelling of weißensteinisch
Weissenstädter,Switzerland and Liechtenstein standard spelling of Weißenstädter
Weissenstädterin,Switzerland and Liechtenstein standard spelling of Weißenstädterin
Weissenthurm,Switzerland and Liechtenstein standard spelling of Weißenthurm
Weissenthurmer,Switzerland and Liechtenstein standard spelling of Weißenthurmer
Weissenthurmerin,Switzerland and Liechtenstein standard spelling of Weißenthurmerin
Weisser,Switzerland and Liechtenstein standard spelling of Weißer
Weisser Hai,Switzerland and Liechtenstein standard spelling of Weißer Hai
Weisser Ritter,Switzerland and Liechtenstein standard spelling of Weißer Ritter
Weisser Zwerg,Switzerland and Liechtenstein standard spelling of Weißer Zwerg
Weisses Haus,Switzerland and Liechtenstein standard spelling of Weißes Haus
Weisses Meer,Switzerland and Liechtenstein standard spelling of Weißes Meer
Weissfleckenkrankheit,Switzerland and Liechtenstein standard spelling of Weißfleckenkrankheit
Weissglut,Switzerland and Liechtenstein standard spelling of Weißglut
weissglänzend,Switzerland and Liechtenstein standard spelling of weißglänzend
weissglühend,Switzerland and Liechtenstein standard spelling of weißglühend
Weissgold,Switzerland and Liechtenstein standard spelling of Weißgold
weissgolden,Switzerland and Liechtenstein standard spelling of weißgolden
weissgrau,Switzerland and Liechtenstein standard spelling of weißgrau
Weisshorn,Weisshorn (a mountain in the Pennine Alps of Switzerland)
Weisskohl,Switzerland and Liechtenstein standard spelling of Weißkohl
Weisskopfseeadler,Switzerland and Liechtenstein standard spelling of Weißkopfseeadler
weisslich,Switzerland and Liechtenstein standard spelling of weißlich
Weissling,Switzerland and Liechtenstein standard spelling of Weißling
Weissmetall,Switzerland and Liechtenstein standard spelling of Weißmetall
Weisspunktbuntbarsch,Switzerland and Liechtenstein standard spelling of Weißpunktbuntbarsch
Weissrusse,Switzerland and Liechtenstein standard spelling of Weißrusse
Weissrussland,Switzerland and Liechtenstein standard spelling of Weißrussland
Weissstorch,Switzerland and Liechtenstein standard spelling of Weißstorch
weisst,Switzerland and Liechtenstein standard spelling of weißt
Weisstanne,Switzerland and Liechtenstein standard spelling of Weißtanne
Weisswein,Switzerland and Liechtenstein standard spelling of Weißwein
Weisswurst,"weisswurst (""white sausage"")"
Weisswurstäquator,Switzerland and Liechtenstein standard spelling of Weißwurstäquator
Weisthum,Obsolete spelling of Weistum which was deprecated in 1902 following the Second Orthographic Conference of 1901.
Weistrach,"a municipality of Lower Austria, Austria"
Weistum,"legal sentence, award (chiefly regarding communities in rural areas with partially oral legal traditions)"
weisungsbefugt,authorised to give commands or instructions
weisungsberechtigt,authorised to instruct or to act
Weisweiler,a native or inhabitant of Weisweiler
weit,wide
weit hergeholt,far-fetched (rather unlikely
weit und breit,far and wide
weitab,far away
weitaus,by far
Weitblick,farsightedness
Weite,width
weiten,"to widen, to expand, to dilate"
weitentlegen,faraway
weiter,"further, farther, more"
weiter bestehen,"to persist, to linger, to survive"
weiter so,keep it up
weiter-,A verb prefix indicating the continuation of an action
weiterarbeiten,to resume one's work
Weiterbildung,further education
weiterentwickeln,to develop further
Weiterentwicklung,"development, advancement"
weiteressen,to continue eating
weiterexistieren,to continue existing
weiterfahren,to continue driving
weiterführen,to continue
Weitergabe,transfer
weitergeben,to impart (to communicate the knowledge of)
weitergegeben,forwarded
weitergehen,"to proceed, progress, continue"
weiterhelfen,to help along
weiterhin,still
weiterkämpfen,to continue to battle after a pause
weiterkönnen,to be able to go on / continue
weiterleben,"to live on, to continue to live, to survive"
weiterleiten,to forward
Weiterleitung,forwarding
weitermachen,"go on, keep going, continue to do something"
weiterreden,to continue speaking
weiterreisen,to continue travelling
weiters,"furthermore, moreover"
weitersagen,"to share (information by saying it), to pass on (a story, a piece of gossip, etc.)"
weiterschenken,to regift
Weitersfeld,"a municipality of Lower Austria, Austria"
Weitersfelden,"a municipality of Upper Austria, Austria"
Weiterstadt,"Weiterstadt (a town in southern Hesse, Germany)"
weiterstudieren,to continue one's studies
weitertun,"to go on, to keep going, to continue to do something"
weiterverarbeiten,to process (further)
weiterverarbeitet,processed
Weiterverarbeitung,processing
weiterverbreiten,"to spread (news, rumours etc.)"
weiterverkaufen,to resell
weiterverschenken,to regift
weiterzahlen,"to continue to pay, to keep paying"
weiterziehen,to move on
weitestens,"at most, no further than"
weitestgehend,"mostly, as much as possible, to the greatest extent"
weitgehend,extensive
weither,afar
weithin,widely
Weitkamp,a surname
weitläufig,"spacious, ample, expansive"
Weitläufigkeit,spaciousness
Weitra,"a municipality of Lower Austria, Austria"
weitreichend,far-reaching
weiträumig,"spacious, roomy, ample"
weitschweifig,"verbose, wordy, prolix"
Weitschweifigkeit,"prolixity, verboseness, verbosity"
Weitsicht,foresight
weitsichtig,farsighted
Weitspringer,long jumper
Weitspringerin,female long jumper
Weitsprung,long jump
weitverbreitet,widespread
Weitwinkel,wide angle
Weitwinkelobjektiv,wide-angle lens
Weiz,"a municipality of Styria, Austria"
Weizen,wheat
Weizenbier,wheat beer
Weizenbrot,wheat bread
Weizenfeld,wheatfield
Weizenkeim,wheat germ
Weizenkeimöl,wheat germ oil
Weizenkorn,wheat grain
Weizenmehl,wheat flour
Weizenmischbrot,mixed wheat/rye bread
Weizenstärke,starch made of wheat
Weizenstärkekleister,wheat paste
weiß,white
weiß der Geier,"God knows, no one knows"
Weißarsenik,white arsenic (arsenic trioxide)
Weißbart-Ameisenwürger,white-bearded antshrike
Weißbier,weissbier (Bavarian beer made from wheat)
Weißbinder,cooper
Weißbinderin,(female) cooper
Weißblech,tinplate
weißblütig,white-flowered
Weißblütiges,nominalization of weißblütiges: something with white flowers (usually a plant)
Weißbrot,white bread
Weißbrust-Ameisenwürger,great antshrike
Weißbuch,white paper
Weißburgunder,pinot blanc (a white wine grape variety mostly cultivated in relatively cool areas)
Weißbüschelaffe,"common marmoset, Callithrix jacchus, a New World monkey"
Weißdorn,hawthorn (type of shrub)
Weißdornhecke,"hedge of hawthorn, hawthorn hedge"
Weiße,"one of a variety of beers, including the Bavarian weissbier, but especially the one called Berliner Weiße"
weiße Weste,"clean slate, clean record (state of innocence and good reputation)"
weißen,to whiten
Weißenbach,"a municipality of the Baden District, Wienerwald region, Lower Austria, Austria"
Weißenbacher,a native or inhabitant of Weißenbach
Weißenberg,"a town in Landkreis Bautzen district, Upper Lusatia region, Saxony, Germany"
Weißenberger,a native or inhabitant of Weißenberg
weißenbergisch,Weißenberg (related to Weißenberg (in any of its meanings))
Weißenborn,"a municipality of Werra-Meißner-Kreis district, Hessen, Germany"
Weißenborner,a native or inhabitant of Weißenborn
Weißenburg,"a town, the administrative seat of Weißenburg-Gunzenhausen district, Middle Franconia region, Bavaria, Germany"
Weißenburg-Gunzenhausen,"a rural district of the Middle Franconia region, Bavaria"
Weißenburger,a native or inhabitant of Weißenburg
weißenburgisch,Weißenburg (related to Weißenburg (in any of its meanings))
Weißenfeld,"a place in w:Vaterstetten, Ebersberg District, Bavaria, Germany"
Weißenfelder,a native or inhabitant of Weißenfeld
Weißenfels,"a town in Burgenlandkreis district, Saxony-Anhalt, Germany"
Weißenfelser,a native or inhabitant of Weißenfels
Weißenhorn,"Weißenhorn (a town in Bavaria, Germany)"
Weißenhorner,a native or inhabitant of Weißenhorn
Weißensee,"a town in Sömmerda district, Thuringia, Germany"
Weißenseer,Native or inhabitant of Weißensee
Weißenstadt,"Weißenstadt (a town in northern Bavaria, Germany)"
Weißenstein,"a municipality of Carinthia, Austria"
Weißensteiner,a native or inhabitant of Weißenstein
Weißensteinerin,a female native or inhabitant of Weißenstein
weißensteinisch,Weißenstein (related to Weißenstein (in any of its meanings))
Weißenstädter,a native or inhabitant of Weißenstadt
Weißenthurm,"Weißenthurm (a town in northern Rhineland-Palatinate, Germany)"
Weißenthurmer,a native or inhabitant of Weißenthurm
Weißer,white person (Caucasian person)
Weißer Hai,great white shark
weißer Ritter,white knight
Weißer Zwerg,white dwarf
Weißes Haus,White House (especially the official residence of the US President
Weißes Meer,the White Sea
weißfeldrig,light-square (pertaining to or situated on a light square)
Weißfleckenkrankheit,"vitiligo, leucoderma"
Weißflügelgimpel,desert finch (Rhodospiza obsoleta)
Weißflügelpinguin,white-flippered penguin
Weißgerbung,tanning (with alum)
Weißglut,incandescence (white heat)
weißglänzend,glossy-white
weißglühend,white-hot
Weißgold,white gold
weißgolden,whitish and golden
Weißgoldring,white gold ring
weißgrau,whitish gray (a very bright shade of gray)
weißhaarig,white-haired
Weißig,"A toponym, see the link to the Wikipedia page for more details"
Weißkohl,white cabbage
Weißkopfseeadler,"American eagle, bald eagle (Haliaeetus leucocephalus)"
weißlich,whitish
Weißling,Any butterfly of the family Pieridae.
Weißmetall,white metal
Weißmuskelkrankheit,white muscle disease
Weißmündige Bänderschnecke,white lipped snail
Weißnarr,A class of folkloric figures in the Swabian-Alemannic Fastnacht (carnival) tradition distinguished by their richly-embroidered white clothing.
Weißnäherin,seamstress
Weißpigment,white pigment
Weißpriach,"a municipality of Salzburg, Austria"
Weißpunkt-Buntbarsch,"white spotted cichlid, Tropheus duboisi"
Weißrost,white rust
Weißrusse,Belarusian (person)
Weißrussin,a female Belarusian
weißrussisch,Belarusian
Weißrussland,Belarus (a country in Eastern Europe)
Weißrußland,Formerly standard spelling of Weißrussland which was deprecated in the spelling reform (Rechtschreibreform) of 1996.
weißsagen,obsolete spelling of weissagen
Weißstirnamazone,"white-fronted amazon, white-fronted parrot, spectacled amazon parrot (Amazona albifrons)"
Weißstorch,white stork (Ciconia ciconia)
Weißtanne,"silver fir, European silver fir, Abies alba (large evergreen coniferous tree)"
weißte,y'know
Weißwasser,white water
Weißwein,white wine (light-coloured wine (usually yellow with a hint of green))
Weißwurst,"weisswurst (""white sausage"")"
Weißwurstäquator,The perceived cultural border between Bavaria and the rest of Germany.
welch,what
welche,some
welcher,which
welk,"wilted, faded"
welken,to wither
Wellblech,corrugated iron
Wellblechpiste,washboard road (corrugated road from washboarding)
Welle,wave (of water)
wellen,to wave
Wellenbrecher,breakwater
Wellenfunktion,wavefunction
wellenförmig,"wavy, undulating"
Wellengleichung,wave equation
Wellenleiter,waveguide
Wellenlänge,wavelength
Wellenlängenbereich,wavelength range
Wellenreiher,Malayan night heron
Wellenreiten,surfing
Wellensittich,budgerigar (Melopsittacus undulatus)
Wellentheorie,wave model
Wellhornschnecke,common whelk (Buccinum undatum)
Wellmann,a surname
Wellness,wellness
Wellnessangebot,wellness service
Wellnesscenter,wellness center
wellnessen,to improve one's well-being
Wellpappe,corrugated cardboard
Welpe,puppy (male or of unspecified gender) (young dog)
Wels,wels catfish (Silurus glanis)
welsch,of the Romance-speaking areas and population of Switzerland
Welscher,Romance language speaker (male or of unspecified gender)
Welschkorn,maize
Welschland,French-speaking Switzerland
Welschlandjahr,year of living in Romandy
Welschnofen,a municipality of South Tyrol
Welschnofner,a native or inhabitant of Welschnofen
Welschschweiz,"Romandy, French-speaking Switzerland"
Welschschweizer,French-speaking Swiss person (male or of unspecified sex)
Welt,world
Weltall,cosmos
Weltangst,"world-fear, existential anxiety"
weltanschaulich,ideological
Weltanschauung,"worldview, weltanschauung, philosophy of life, ideology"
Weltansicht,way of seeing the world
Weltausstellung,"World Exposition, World's fair, World Fair, Universal Exposition, Expo"
Weltbank,World Bank
weltbekannt,world-famous
weltberühmt,world-famous
Weltberühmtheit,worldwide fame
Weltbevölkerung,global population
Weltbild,worldview
Weltbühne,world stage (the worldwide public life)
Weltbürger,cosmopolite
weltbürgerlich,cosmopolitan
Weltbürgertum,cosmopolitanism
Weltcup,world cup
Weltdame,woman of the world
Weltempfänger,"short-wave receiver, world receiver"
Weltenbummler,globetrotter
Welteninsel,galaxy
Weltenraum,dated form of Weltraum
Weltergewicht,welterweight
Weltergewichtler,welterweight (person of that weight class)
Weltfinanzkrise,"global financial crisis, especially during the Great Recession"
Weltfrauentag,International Women's Day
weltfremd,"naive, unworldly, unfamiliar with the reality, the challenges, and the opportunities of everyday life"
Weltfrieden,"world peace, universal peace"
Weltgegend,"cardinal point, compass point"
Weltgeist,world spirit
Weltgeltung,"world stature, world standing, global significance (the state of being recognized or influential on a global scale)"
Weltgeschichte,world history
weltgeschichtlich,world-historical
Weltgesundheitsorganisation,World Health Organization
weltgrößte,largest / greatest in the world
Welthandel,"world trade, global trade (the exchange of goods, services, and capital across international borders and territories)"
Welthauptstadt,world capital (most important place in the world in a particular context)
Weltherrschaft,"world domination, world dominion (supreme political or military control over the entire earth)"
Weltjahresförderung,world annual production
Weltjudentum,a global network of influential Jews that supposedly rules the world or aims at that
Weltkarte,world map
Weltklima,world climate
weltklug,sophisticated
Weltkreis,world
Weltkrieg,world war
Weltkriegsgefreiter,"a Gefreiter (the second-lowest army rank, roughly lance corporal) active in one of the two World Wars"
Weltkrise,global crisis
Weltkugel,A globe (a spherical model)
Weltkulturerbe,Cultural World Heritage Site
weltlich,"earthly, mundane, worldly (concerned with the human, earthly, or physical)"
Weltlichkeit,worldliness
Weltliteratur,world literature
Weltläufigkeit,"urbanity, refinement"
Weltmacht,world power
Weltmann,man of the world
Weltmarkt,global market
Weltmarktpreis,world market price
Weltmeer,ocean (one of the large bodies of water)
Weltmeister,world champion
weltmeisterlich,world-champion
Weltmeisterschaft,"World Cup, world championship"
Weltmusik,world music
weltmännisch,urbane
Weltnetz,"global network, world network"
weltoffen,liberal-minded
Weltordnung,world order
Weltpokal,intercontinental cup (world championship for clubs)
Weltpolitik,world / global policy / politics
Weltpriester,a secular priest
Weltproduktion,world production (of a commodity)
Weltrangliste,world rankings
Weltranglistenerste,the number one in the world rankings (female)
Weltranglistenerster,the number one in the world rankings
Weltraum,space (area beyond the atmosphere of planets)
Weltraumbahnhof,spaceport
Weltraumforschung,space exploration
Weltraumfähre,space shuttle
Weltraummission,space mission
Weltraummüll,"space debris, space junk"
Weltraumoper,space opera
Weltraumschiff,"spaceship, spacecraft"
Weltraumschrott,"space debris, space junk"
Weltraumspaziergang,space walk
Weltraumstation,space station
Weltraumtechnik,space technology
Weltraumteleskop,space telescope
Weltraumtourismus,space tourism
Weltraumzeitalter,space age
Weltregierung,world government
Weltreich,world-empire
Weltreise,"world trip, round-the-world trip (prolonged voyage or vacation in various parts of the world)"
Weltrekord,World record
Weltrekordhalter,world record holder
Weltrekordinhaber,synonym of Weltrekordhalter
Weltrekordinhaberin,synonym of Weltrekordhalterin
Weltrekordler,world record holder
Weltreligion,world religion
Weltreservewährung,world reserve currency (a reserve currency of global importance)
Weltruhm,worldwide fame
Weltschmerz,"Weltschmerz, world-weariness (profound depression regarding the human condition or the state of the world)"
Weltseele,world soul
Weltsprache,global language
Weltstaat,world government
Weltstadt,"metropolis, large city of international importance"
Weltstar,international star (person who is famous in more than one country)
weltstädtisch,cosmopolitan
Weltumsegler,circumnavigator (person who sails around the entire globe)
Weltuntergang,end of the world
Weltuntergangsstimmung,end-of-the-world mood
Weltverbesserer,do-gooder
weltverloren,"lost to the world, oblivious"
weltweit,worldwide
Weltwirtschaft,global economy
Weltwirtschaftskrise,global economic crisis
Weltwissen,knowledge about the world
Weltwunder,world wonder (i.e. Wonders of the World)
Weltzeituhr,world clock
weltöffentlich,public to the world
Weltöffentlichkeit,world / global public
Welzheim,"Welzheim (a town in eastern Baden-Württemberg, Germany)"
Welzow,"Welzow (a town in southern Brandenburg, Germany)"
Wembley-Tor,A ghost goal
Wemding,"Wemding (a town in western Bavaria, Germany)"
Wemfall,synonym of Dativ: dative case
Wenchao,a male given name from Chinese
Wende,turn (change in temperament or circumstance)
Wendehals,The Eurasian wryneck (Jynx torquilla).
Wendehammer,T-shaped turning area
Wendekreis,turning circle
Wendel,"coil, spiral, helix"
Wendelin,a male given name
Wendelring,torque (a stiff neck ring in metal)
Wendeltreppe,"spiral stairs, spiral staircase, circular stairs, helical stairs"
Wendemantel,reversible coat
wenden,to turn something so as to cook or roast it from both sides
Wendepunkt,turning point
wendig,agile
Wendigo,wendigo
wendisch,Sorbian
Wendland,"a region in northeastern Lower Saxony, Germany"
Wendling,a surname
Wendlingen,"Wendlingen (a town in central Baden-Württemberg, Germany)"
Wendlinger,A native or inhabitant of Wendlingen
Wendorf,"a municipality of Mecklenburg-Vorpommern, Germany"
Wendung,turn
Wendungszelle,Any of a disc-shaped group of hyaline cells (or a single cell) at the base of the oosphere in Characeae.
Wenfall,synonym of Akkusativ: accusative case
Wengen,a municipality of South Tyrol
wenig,"little, few (a small amount, a small number)"
weniger,less
weniger ist mehr,less is more
Wenigkeit,paucity
wenigstens,at least
Wenigzell,"a municipality of Styria, Austria"
wenn,"when, whenever"
"wenn das Arbeiten nur leicht wäre, tät's der Bürgermeister selber","""if working were easy, even the Mayor himself would engage on it"""
"wenn das Aug nicht sehen will, helfen weder Brillen noch Licht","""when the eye doesn’t want to see, neither glasses nor light will help"""
wenn das der Führer wüsste,said about something of which Adolf Hitler would have disapproved or which he would have put an end to (in the speaker's reckoning)
"wenn der Berg nicht zum Propheten kommt, muss der Prophet wohl zum Berge kommen","if the mountain won't come to Muhammad, Muhammad must go to the mountain"
wenn der Tag lang ist,used for emphasis in the context of someone’s talking a lot and/or telling nonsense
"wenn es nicht wahr ist, dann ist es gut erfunden","Though the anecdote is perhaps not factual, it is nevertheless worthwhile to tell it, because it is amusing or expresses a truth."
wenn man vom Teufel spricht,speak of the devil
"wenn man vom Teufel spricht, dann ist er nicht weit","speak of the devil and he shall appear, speak of the devil"
"wenn man vom Teufel spricht, dann kommt er",speak of the devil
"wenn man vom Teufel spricht, kommt er",speak of the devil and he shall appear
wenn nicht,unless
wenn Ostern und Pfingsten auf einen Tag fallen,"when pigs fly (never, expressed idiomatically)"
wenn Ostern und Weihnachten auf einen Tag fallen,"a cold day in July, when pigs fly (never, expressed idiomatically)"
"wenn schon, denn schon","in for a penny, in for a pound"
wenn überhaupt,"if at all, if ever, if anything"
wenn's kein Schneider ist,Used when granting entry to someone who knocks at the door.
wenngleich,albeit (despite its being
Wenns,"a municipality of Tyrol, Austria"
wenns hoch kommt,at best
wennschon,synonym of wenngleich
Wenzel,a male given name
Weppersdorf,"a municipality of Burgenland, Austria"
Wepse,Veps (man of Veps origin)
Wepsin,Veps (woman of Veps origin)
Wepsisch,Veps (the Veps language)
wer,who (what person or people)
"wer A sagt, muss auch B sagen","in for a penny, in for a pound"
"wer alles haben will, bekommt am Ende nichts","""He who wants to have everything, gets nothing in the end"""
"wer andern eine Grube gräbt, fällt selbst hinein",he who digs a pit for others falls in himself
wer auch immer,whoever
"wer billig kauft, kauft zweimal","buy cheap, buy twice"
"wer das liest, ist doof",if you read this you're stupid (customary scribbling on school desks etc.)
"wer das Schwert nimmt, soll durch das Schwert umkommen","live by the sword, die by the sword"
"wer den Hund ins Bett lässt, steht mit Flöhen auf","if you lie down with dogs, you get up with fleas"
"wer den Schaden hat, braucht für den Spott nicht zu sorgen","when something bad happens to you, expect people to mock you on top of that"
"wer einmal lügt, dem glaubt man nicht, und wenn er auch die Wahrheit spricht",it is hard to trust someone who has been caught in a lie before
"wer im Glashaus sitzt, soll nicht mit Steinen werfen",people who live in glass houses shouldn't throw stones
"wer lesen kann, ist klar im Vorteil","Used to taunt someone who misread instructions, or made a mistake due to not reading them."
