word,translation
20-DM-Banknote,"20 Deutsche Mark banknote, DM 20 note"
20-Euro-Banknote,"20 euro banknote, 20 euro note"
20.,"abbreviation of zwanzigste 20th, twentieth"
20ste,abbreviation of zwanzigste
21.,"abbreviation of einundzwanzigste 21st, twenty-first"
22.,"abbreviation of zweiundzwanzigste 22nd, twenty-second"
23.,"abbreviation of dreiundzwanzigste 23rd, twenty-third"
24.,"abbreviation of vierundzwanzigste 24th, twenty-fourth"
25.,"abbreviation of fünfundzwanzigste 25th, twenty-fifth"
26.,"abbreviation of sechsundzwanzigste 26th, twenty-sixth"
27.,"abbreviation of siebenundzwanzigste 27th, twenty-seventh"
28.,"abbreviation of achtundzwanzigste 28th, twenty-eighth"
29.,"abbreviation of neunundzwanzigste 29th, twenty-ninth"
2G,geimpft oder genesen (“vaccinated or recovered”)
3.,abbreviation of dritte
30.,"abbreviation of dreißigste 30th, thirtieth"
31.,"abbreviation of einunddreißigste 31st, thirty-first"
31er,"snitch, backstabber"
32.,"abbreviation of zweiunddreißigste 32nd, thirty-second"
33.,"abbreviation of dreiunddreißigste 33rd, thirty-third"
34.,"abbreviation of vierunddreißigste 34th, thirty-fourth"
35.,"abbreviation of fünfunddreißigste 35th, thirty-fifth"
36.,"abbreviation of sechsunddreißigste 36th, thirty-sixth"
37.,"abbreviation of siebenunddreißigste 37th, thirty-seventh"
38.,"abbreviation of achtunddreißigste 38th, thirty-eighth"
39.,"abbreviation of neununddreißigste 39th, thirty-ninth"
3G,"geimpft, genesen oder getestet (“vaccinated, recovered or tested”)"
4-Aminobutansäure,gamma-aminobutyric acid (GABA)
4-Hydroxybutansäure,"gamma-hydroxybutyric acid, 4-hydroxybutanoic acid, or GHB"
4.,abbreviation of vierte
40.,"abbreviation of vierzigste 40th, fortieth"
41.,"abbreviation of einundvierzigste 41st, forty-first"
42.,"abbreviation of zweiundvierzigste 42nd, forty-second"
43.,"abbreviation of dreiundvierzigste 43rd, forty-third"
